Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",CP_Elec_8x11.9,2,220uF,
"C10, C2, C5",0805,3,10uF,
C3,0402,1,10nF,
"C6, C7",CP_EIA-3216-12_Kemet-S,2,10uF,
"C8, C9",0603,2,100nF,
D1,D_MiniMELF,1,ZMM5V6-M,
"D2, D3",D_SMA,2,SS34,
D4,0603,1,POWER,
J1,BarrelJack_Wuerth_694106106102_2.0x5.5mm,1,DC Power,
J10,JST_XH_S4B-XH,1,I2C ext,
J11,PinHeader_1x04_P2.54mm_Vertical,1,UART int,
J12,JST_XH_S4B-XH,1,UART ext,
J13,PinHeader_1x04_P2.54mm_Vertical,1,IO Out,
J14,PinHeader_1x06_P2.54mm_Vertical,1,U Out,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_small,
J3,JST_XH_S3B-XH,1,LED 1,
J4,JST_XH_S3B-XH,1,LED 2,
J5,JST_XH_S3B-XH,1,LED 3,
J6,JST_XH_S3B-XH,1,LED 4,
J7,JST_XH_S3B-XH,1,LED 5,
J8,JST_XH_S3B-XH,1,LED 6,
J9,PinHeader_1x04_P2.54mm_Vertical,1,I2C int,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,47uH,
"Q1, Q2",SOIC-8_3.9x4.9mm_P1.27mm,2,AP4409AGEM,
"Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,6,AO3400A,
"R1, R10, R8, R9",0603,4,100k,
"R11, R2, R3",0603,3,5k1,
"R12, R13",0603,2,2k2,
"R14, R17, R20, R23, R26, R29",0603,6,10k,
"R15, R18, R21, R24, R27, R30",0603,6,220R,
"R16, R19, R22, R25, R28, R31",1206,6,22R,
"R32, R33",1206,2,0R,
"R4, R5",0603,2,0R,
R6,0603,1,22k,
R7,0603,1,6k8,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,Reset,
SW2,SW_Push_1P1T_XKB_TS-1187A,1,Boot,
U1,TI_SO-PowerPAD-8,1,TPS5430DDA,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,
